route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color
14008,6,43,קניון לב העיר-נצרת עילית<->קניון לב העיר-נצרת עילית-3ד,29043-3-ד,3,
17082,6,49,שוק-נצרת עילית<->הר יונה ג-נצרת עילית-2#,29049-2-#,3,
13960,6,76,בית ספר ארבל-נצרת עילית<->יסמין/הפסגות-נצרת עילית-2#,29076-2-#,3,FF9933
13980,6,88,בי''ס אינגיליה-נצרת<->פאולוס השישי/הגליל-נצרת-2#,29088-2-#,3,FF9933
1231,6,3,מרכז מסחרי/המעיין-נצרת עילית<->מרכז מסחרי/המעיין-נצרת עילית-3ב,30003-3-ב,3,
1232,6,3,דליה/כליל החורש-נצרת עילית<->מרכז מסחרי/המעיין-נצרת עילית-3ג,30003-3-ג,3,
14021,6,44,גן ילדים/כרכום-נצרת עילית<->דודג סנטר-נצרת עילית-1#,30044-1-#,3,
14023,6,44,דודג סנטר-נצרת עילית<->גן ילדים/כרכום-נצרת עילית-2#,30044-2-#,3,
14024,6,44,דודג סנטר-נצרת עילית<->גן ילדים/כרכום-נצרת עילית-2ב,30044-2-ב,3,
16721,6,50,יפיע/כביש 510-יפיע<->101/124-יפיע-1#,30050-1-#,3,
16722,6,50,101/124-יפיע<->יפיע/כביש 510-יפיע-2#,30050-2-#,3,
10830,6,89,כביש נצרת חיפה-נצרת<->בית ספר עמל-נצרת-1#,30089-1-#,3,FF9933
10832,6,89,בית ספר עמל-נצרת<->מיני מרקט עיאד/1004-נצרת-2#,30089-2-#,3,FF9933
10835,6,90,בית ספר עמל-נצרת<->סאפוריה/7008-נצרת-2#,30090-2-#,3,FF9933
13999,6,32,גן ילדים/רותם-נצרת עילית<->גן ילדים/רותם-נצרת עילית-3#,32032-3-#,3,
14001,6,32,מרכז מסחרי/השושנים-נצרת עילית<->גן ילדים/רותם-נצרת עילית-3ב,32032-3-ב,3,
14002,6,32,גן ילדים/רותם-נצרת עילית<->יזרעאל/הגפן-נצרת עילית-3ג,32032-3-ג,3,
